employee_name,start_block,end_block
Alice Morgan,03-11-2025 09:00,03-11-2025 13:00
Alice Morgan,05-11-2025 14:00,05-11-2025 18:00
Alice Morgan,10-11-2025 08:30,10-11-2025 12:30
Alice Morgan,15-11-2025 11:00,15-11-2025 16:00
Alice Morgan,22-11-2025 09:00,22-11-2025 12:00
Brian Carter,04-11-2025 10:00,04-11-2025 15:00
Brian Carter,07-11-2025 13:00,07-11-2025 17:00
Brian Carter,12-11-2025 09:30,12-11-2025 14:30
Brian Carter,18-11-2025 08:00,18-11-2025 12:00
Brian Carter,27-11-2025 14:00,27-11-2025 18:00
Chloe Bennett,03-11-2025 12:00,03-11-2025 16:00
Chloe Bennett,06-11-2025 09:00,06-11-2025 13:00
Chloe Bennett,11-11-2025 14:00,11-11-2025 18:00
Chloe Bennett,19-11-2025 10:00,19-11-2025 15:00
Chloe Bennett,25-11-2025 08:30,25-11-2025 12:30
David Hughes,05-11-2025 08:00,05-11-2025 12:00
David Hughes,09-11-2025 13:00,09-11-2025 17:00
David Hughes,14-11-2025 09:30,14-11-2025 14:30
David Hughes,21-11-2025 11:00,21-11-2025 16:00
David Hughes,29-11-2025 10:00,29-11-2025 14:00
Emma Foster,04-11-2025 09:00,04-11-2025 13:00
Emma Foster,08-11-2025 14:00,08-11-2025 18:00
Emma Foster,13-11-2025 08:30,13-11-2025 12:30
Emma Foster,20-11-2025 10:00,20-11-2025 15:00
Emma Foster,28-11-2025 09:00,28-11-2025 13:00
